EmployeeID,Age,Gender,Department,Tenure
1,62,Male,IT,8
2,36,Female,Marketing,5
3,56,Female,HR,6
4,27,Male,Marketing,4
5,57,Female,Marketing,13
6,48,Male,IT,8
7,22,Female,IT,2
8,31,Female,IT,4
9,27,Male,Finance,7
10,60,Female,Marketing,17
11,56,Female,IT,8
12,57,Female,Marketing,19
13,45,Male,HR,19
14,64,Female,Finance,15
15,36,Male,Sales,4
16,45,Male,IT,6
17,39,Male,Marketing,21
18,56,Male,IT,16
19,62,Male,IT,36
20,25,Female,Finance,2
21,47,Male,Finance,9
22,58,Male,Sales,21
23,63,Male,HR,30
24,57,Male,Sales,35
25,59,Male,Finance,26
26,30,Female,Marketing,9
27,29,Female,Marketing,3
28,49,Male,IT,20
29,51,Female,Finance,17
30,22,Female,Sales,1
31,39,Male,IT,21
32,32,Male,Marketing,8
33,38,Female,Sales,17
34,28,Female,Sales,5
35,34,Male,IT,5
36,55,Female,Sales,1
37,29,Female,Finance,6
38,41,Male,Finance,8
39,27,Female,Finance,2
40,56,Male,Sales,9
41,57,Male,Finance,11
42,49,Male,Sales,31
43,34,Male,Marketing,10
44,45,Female,Sales,15
45,37,Male,HR,8
46,57,Female,HR,15
47,62,Male,Finance,4
48,43,Female,IT,3
49,53,Female,Marketing,14
50,58,Male,Marketing,37
51,48,Male,Marketing,7
52,44,Male,Finance,14
53,25,Female,Marketing,6
54,25,Female,Finance,4
55,28,Male,Sales,4
56,30,Male,Sales,7
57,26,Female,Finance,8
58,28,Female,Sales,1
59,22,Female,Finance,1
60,32,Male,IT,7
61,47,Male,IT,29
62,46,Female,Marketing,9
63,40,Female,Marketing,14
64,57,Male,IT,32
65,25,Female,HR,5
66,42,Male,Sales,2
67,55,Male,Sales,11
68,33,Female,Marketing,2
69,37,Male,Finance,13
70,37,Female,Marketing,19
71,48,Female,Sales,22
72,38,Female,IT,7
73,38,Male,Marketing,13
74,51,Female,Finance,21
75,22,Female,Sales,4
76,28,Female,Sales,2
77,30,Female,Finance,6
78,45,Male,Finance,10
79,41,Non-Binary,Finance,20
80,55,Female,Sales,1
81,64,Female,HR,7
82,29,Female,IT,2
83,40,Male,IT,20
84,65,Female,IT,17
85,25,Female,Finance,1
86,24,Male,HR,1
87,38,Female,Sales,6
88,49,Male,HR,18
89,31,Male,IT,9
90,57,Male,HR,10
91,45,Female,HR,26
92,44,Female,Marketing,7
93,44,Female,Finance,25
94,61,Female,IT,10
95,32,Female,Finance,13
96,23,Female,IT,2
97,48,Female,Marketing,26
98,37,Male,Marketing,9
99,46,Male,Sales,28
100,34,Male,Finance,15
101,36,Male,IT,8
102,43,Female,Finance,9
103,39,Female,IT,12
104,56,Female,HR,22
105,38,Female,Finance,6
106,24,Female,IT,1
107,42,Female,Sales,14
108,46,Male,HR,19
109,49,Female,Finance,1
110,65,Male,HR,13
111,64,Female,Marketing,22
112,29,Female,Marketing,5
113,42,Female,Sales,13
114,34,Female,IT,14
115,33,Female,Sales,10
116,22,Male,Sales,3
117,59,Female,Sales,39
118,50,Female,Marketing,14
119,32,Male,Sales,11
120,62,Male,Finance,40
121,37,Male,IT,10
122,23,Male,Sales,1
123,26,Male,Marketing,8
124,34,Female,IT,13
125,63,Female,Finance,1
126,28,Male,Finance,7
127,55,Male,IT,30
128,29,Male,Sales,8
129,55,Female,Finance,36
130,50,Female,Sales,28
131,32,Female,Sales,12
132,37,Female,Sales,9
133,62,Male,HR,16
134,40,Male,IT,8
135,56,Male,IT,6
136,31,Male,Sales,12
137,43,Male,HR,18
138,48,Female,Sales,13
139,23,Male,HR,5
140,44,Female,Finance,10
141,48,Female,Sales,18
142,60,Male,IT,15
143,53,Male,Marketing,2
144,47,Male,Sales,24
145,30,Female,Finance,10
146,59,Female,HR,37
147,49,Female,IT,5
148,38,Male,Sales,13
149,43,Female,IT,25
150,48,Female,Sales,9
151,56,Non-Binary,IT,4
152,63,Female,Marketing,5
153,23,Male,HR,2
154,31,Male,Marketing,4
155,58,Male,IT,14
156,45,Female,Finance,6
157,29,Female,HR,3
158,23,Female,Finance,3
159,46,Female,IT,13
160,59,Male,Marketing,16
161,65,Female,Marketing,39
162,58,Male,Sales,3
163,45,Female,IT,3
164,48,Female,Sales,27
165,45,Female,Sales,21
166,31,Male,Sales,7
167,63,Female,Finance,18
168,52,Male,Marketing,30
169,39,Female,Finance,11
170,27,Female,IT,5
171,51,Male,Sales,25
172,42,Male,IT,6
173,38,Male,Sales,11
174,39,Male,Finance,18
175,27,Female,Sales,4
176,37,Female,Sales,16
177,23,Male,Sales,1
178,37,Female,IT,10
179,57,Male,Finance,34
180,57,Male,Sales,22
181,41,Male,Marketing,9
182,42,Female,Finance,4
183,33,Male,Sales,4
184,59,Female,Finance,34
185,34,Male,IT,10
186,22,Male,Finance,2
187,57,Female,HR,19
188,53,Female,Sales,7
189,52,Male,IT,31
190,25,Female,Sales,3
191,26,Female,Sales,7
192,65,Male,Finance,4
193,41,Non-Binary,HR,3
194,48,Female,Marketing,20
195,55,Male,Sales,25
196,59,Male,Marketing,28
197,61,Female,IT,7
198,35,Female,IT,9
199,33,Male,HR,9
200,50,Male,IT,31
201,40,Male,IT,15
202,38,Female,Finance,19
203,49,Female,Marketing,4
204,39,Male,IT,5
205,41,Female,Sales,20
206,40,Male,Marketing,15
207,47,Female,Sales,9
208,27,Female,Marketing,1
209,60,Male,IT,17
210,65,Female,HR,37
211,65,Female,Marketing,18
212,33,Female,Sales,8
213,39,Non-Binary,Sales,6
214,53,Male,Sales,6
215,42,Male,IT,22
216,48,Female,Marketing,23
217,47,Female,HR,27
218,27,Male,HR,6
219,47,Female,Finance,28
220,64,Male,HR,35
221,55,Female,Sales,24
222,50,Male,Sales,4
223,40,Female,Sales,15
224,23,Female,Marketing,5
225,41,Male,Sales,18
226,36,Male,HR,4
227,31,Female,IT,8
228,39,Female,Finance,14
229,37,Female,IT,15
230,60,Female,HR,33
231,26,Female,Finance,5
232,43,Male,HR,17
233,41,Female,Marketing,19
234,31,Female,IT,8
235,57,Male,Finance,35
236,34,Female,IT,8
