EmployeeID,BenefitID,UsageFrequency,LastUsedDate
4245,25,2,2023-09-01
220,20,4,2024-05-03
4716,24,4,2024-02-10
3971,26,0,2023-09-15
1048,24,1,2024-05-29
2886,27,8,2024-04-16
1747,30,0,2024-01-16
1385,5,4,2023-12-12
3627,8,5,2024-04-21
1558,29,3,2024-07-16
4981,6,0,2024-05-20
2979,28,2,2023-11-04
1820,26,1,2024-02-08
1059,8,2,2024-04-10
714,17,1,2024-04-05
285,16,2,2023-10-27
402,18,10,2024-04-25
374,17,0,2024-02-06
4974,16,6,2024-07-08
990,25,3,2024-07-19
1298,27,7,2024-02-17
3123,2,0,2023-10-26
4026,4,0,2023-10-11
818,12,4,2024-02-13
4536,8,8,2024-07-03
4574,22,3,2024-02-05
1499,23,0,2023-12-10
4039,22,6,2024-06-07
3562,30,5,2023-12-05
2148,18,8,2023-08-29
3298,16,0,2023-12-31
3626,25,0,2023-08-11
1190,7,10,2024-03-12
1776,23,10,2024-02-26
1161,6,9,2023-12-24
4165,1,4,2024-01-28
4977,10,0,2024-03-05
1262,12,3,2024-04-13
4638,5,5,2023-12-18
1509,6,5,2024-05-03
2898,13,0,2024-04-15
1500,27,8,2024-07-31
2766,7,1,2023-12-24
404,29,2,2024-06-16
3923,28,6,2024-02-29
547,28,4,2023-09-27
4355,2,0,2024-05-18
4029,9,0,2024-01-15
1936,1,3,2023-12-26
2583,8,7,2024-02-20
2498,25,0,2024-07-16
4602,11,0,2024-07-08
588,8,6,2024-03-22
1430,13,4,2024-08-03
4168,26,1,2023-10-05
3272,8,3,2024-02-23
3880,22,1,2023-12-31
519,11,5,2024-03-29
3901,2,1,2023-09-29
2060,19,0,2024-06-17
1428,30,4,2023-09-24
552,12,0,2023-12-28
2193,3,0,2024-02-09
2804,11,2,2024-05-03
139,19,9,2023-09-25
749,19,5,2023-08-23
4854,7,4,2024-06-25
3694,18,3,2023-10-25
1515,2,3,2024-03-16
5,26,0,2024-01-31
2078,6,2,2024-03-26
1297,22,0,2023-08-23
4065,4,0,2023-09-20
736,5,1,2024-05-24
1654,19,0,2023-10-26
3523,29,9,2024-05-17
3306,15,3,2023-10-14
3719,13,0,2024-02-01
4287,16,0,2024-07-09
1352,14,3,2023-12-19
3964,8,0,2024-04-07
4932,25,0,2023-11-01
3587,21,2,2024-02-28
232,15,10,2023-11-12
4725,17,3,2024-01-27
3893,21,3,2023-10-28
2887,8,7,2024-04-08
1704,21,5,2023-09-13
2530,7,0,2023-09-15
752,21,6,2024-05-08
2694,10,0,2024-03-03
4199,22,5,2024-06-07
4737,21,1,2023-12-09
1911,4,0,2024-05-03
1299,4,4,2024-01-14
2884,27,0,2023-08-09
2860,16,6,2024-04-15
2231,10,3,2024-05-20
3737,26,9,2023-10-31
3932,1,5,2023-10-24
10,5,2,2024-01-16
4598,15,2,2023-12-16
2533,18,4,2023-10-24
3566,16,2,2023-11-16
4690,15,4,2023-10-09
2536,29,9,2024-05-04
3439,27,0,2023-10-01
2848,14,5,2024-01-21
277,9,8,2024-04-30
271,1,2,2023-12-18
2892,11,5,2024-01-01
3853,7,0,2023-10-29
